vehicle_id,class,vehicle,fuel,CO2,CO,NOX,PM,HC,notes
174,Car & Recreational Vehicle,CAMPER VAN / TRAILER (PRIVATE USE),PETROL/CNG,132.74,1.34,0.41,0.002,0.43,Assumed same as CNG ONLY.
175,Car & Recreational Vehicle,MOTOR CARAVAN,ELECTRIC(BOV),0,0,0,0,0,Zero tailpipe emissions.
176,Car & Recreational Vehicle,MOTOR CARAVAN,DIESEL,222.29,0.47,0.48,0.049,0.05,"Assumed same as MUV Diesel (BS-IV).[4, 5]"
177,Car & Recreational Vehicle,MOTOR CARAVAN,PETROL,213,1,0.08,0.0045,0.1,Assumed same as MUV Petrol (BS-VI equivalent).
178,Car & Recreational Vehicle,TRAILER FOR PERSONAL USE,NOT APPLICABLE,0,0,0,0,0,Zero tailpipe emissions. Trailers are non-powered.
179,Car & Recreational Vehicle,AUXILIARY TRAILER,ELECTRIC(BOV),0,0,0,0,0,Zero tailpipe emissions. Trailers are non-powered; fuel type is a data anomaly.
180,Car & Recreational Vehicle,AUXILIARY TRAILER,DIESEL,0,0,0,0,0,Zero tailpipe emissions. Trailers are non-powered; fuel type is a data anomaly.
181,Car & Recreational Vehicle,AUXILIARY TRAILER,NOT APPLICABLE,0,0,0,0,0,Zero tailpipe emissions. Trailers are non-powered.
182,Goods & Light Commercial Van,GOODS CARRIER,DIESEL,139.86,0.5,0.1615,0.0045,0.0085,"Assumed same as Light-Duty Diesel (BS-VI).[19, 20, 21, 22, 23, 24, 25]"
183,Goods & Light Commercial Van,GOODS CARRIER,PETROL,113.79,1,0.06,0.0045,0.1,"Assumed same as Light-Duty Petrol (BS-VI).[19, 20, 21, 22, 23, 24, 25]"
184,Goods & Light Commercial Van,GOODS CARRIER,CNG ONLY,101.59,1.02,0.03,0.001,0.19,"Assumed same as Light-Duty CNG (BS-IV).[4, 5]"
185,Goods & Light Commercial Van,GOODS CARRIER,ELECTRIC(BOV),0,0,0,0,0,Zero tailpipe emissions.
186,Goods & Light Commercial Van,GOODS CARRIER,PETROL/CNG,101.59,1.02,0.03,0.001,0.19,Assumed same as CNG ONLY.
187,Goods & Light Commercial Van,GOODS CARRIER,PETROL/ETHANOL,111.5,0.8,0.06,0.0045,0.08,"Estimated ~20% CO/HC reduction from Petrol LCV.[9, 10, 11, 12, 13]"
188,Goods & Light Commercial Van,GOODS CARRIER,LNG,100,1.1,0.04,0.001,0.25,Data Anomaly: LNG is for HDVs. Estimated based on CNG values.
189,Goods & Light Commercial Van,GOODS CARRIER,NOT APPLICABLE,0,0,0,0,0,Not an applicable fuel type.
190,Goods & Light Commercial Van,GOODS CARRIER,DUAL DIESEL/LNG,120,0.8,0.06,0.003,0.2,Data Anomaly: LNG is for HDVs. Estimated based on Diesel/CNG values.
191,Goods & Light Commercial Van,GOODS CARRIER,PETROL/LPG,138,1.5,0.1,0.005,0.15,"Assumed same as Light-Duty Petrol/LPG.[26, 14, 15, 16, 17, 12, 18]"
192,Goods & Light Commercial Van,GOODS CARRIER,SOLAR,0,0,0,0,0,Zero tailpipe emissions.
193,Goods & Light Commercial Van,GOODS CARRIER,DIESEL/HYBRID,111.89,0.4,0.133,0.004,0.007,Estimated as 20% reduction from Diesel LCV.
194,Goods & Light Commercial Van,GOODS CARRIER,LPG ONLY,138,1.5,0.1,0.005,0.15,"Assumed same as Light-Duty LPG.[26, 14, 15, 16, 17, 12, 18]"
195,Goods & Light Commercial Van,CASH VAN,DIESEL,155,0.55,0.171,0.005,0.009,Estimated ~10% increase from LCV due to weight/armoring.
196,Goods & Light Commercial Van,CASH VAN,CNG ONLY,112,1.1,0.04,0.001,0.21,Estimated ~10% increase from LCV due to weight/armoring.
197,Goods & Light Commercial Van,CASH VAN,PETROL,125,1.1,0.07,0.005,0.11,Estimated ~10% increase from LCV due to weight/armoring.
198,Goods & Light Commercial Van,CASH VAN,ELECTRIC(BOV),0,0,0,0,0,Zero tailpipe emissions.
199,Goods & Light Commercial Van,BREAKDOWN VAN,PETROL,113.79,1,0.06,0.0045,0.1,Assumed same as LCV Petrol.
200,Goods & Light Commercial Van,BREAKDOWN VAN,DIESEL,139.86,0.5,0.1615,0.0045,0.0085,Assumed same as LCV Diesel.
201,Goods & Light Commercial Van,BREAKDOWN VAN,CNG ONLY,101.59,1.02,0.03,0.001,0.19,Assumed same as LCV CNG.
202,Goods & Light Commercial Van,BREAKDOWN VAN,PETROL/CNG,101.59,1.02,0.03,0.001,0.19,Assumed same as CNG ONLY.
203,Goods & Light Commercial Van,MOBILE WORKSHOP,DIESEL,139.86,0.5,0.1615,0.0045,0.0085,Assumed same as LCV Diesel.
204,Goods & Light Commercial Van,MOBILE WORKSHOP,PETROL,113.79,1,0.06,0.0045,0.1,Assumed same as LCV Petrol.
205,Goods & Light Commercial Van,MOBILE WORKSHOP,CNG ONLY,101.59,1.02,0.03,0.001,0.19,Assumed same as LCV CNG.
206,Goods & Light Commercial Van,MOBILE CANTEEN,DIESEL,139.86,0.5,0.1615,0.0045,0.0085,Assumed same as LCV Diesel.
207,Goods & Light Commercial Van,MOBILE CANTEEN,PETROL,113.79,1,0.06,0.0045,0.1,Assumed same as LCV Petrol.
208,Goods & Light Commercial Van,MOBILE CANTEEN,CNG ONLY,101.59,1.02,0.03,0.001,0.19,Assumed same as LCV CNG.
209,Goods & Light Commercial Van,LIBRARY VAN,DIESEL,139.86,0.5,0.1615,0.0045,0.0085,Assumed same as LCV Diesel.
210,Goods & Light Commercial Van,LIBRARY VAN,PETROL,113.79,1,0.06,0.0045,0.1,Assumed same as LCV Petrol.
211,Goods & Light Commercial Van,VEHICLE FITTED WITH COMPRESSOR,DIESEL,139.86,0.5,0.1615,0.0045,0.0085,Assumed same as LCV Diesel.
212,Goods & Light Commercial Van,VEHICLE FITTED WITH COMPRESSOR,NOT APPLICABLE,0,0,0,0,0,Not an applicable fuel type.
213,Goods & Light Commercial Van,VEHICLE FITTED WITH GENERATOR,DIESEL,139.86,0.5,0.1615,0.0045,0.0085,Assumed same as LCV Diesel.
214,Goods & Light Commercial Van,VEHICLE FITTED WITH GENERATOR,NOT APPLICABLE,0,0,0,0,0,Not an applicable fuel type.
215,Goods & Light Commercial Van,VEHICLE FITTED WITH GENERATOR,PETROL,113.79,1,0.06,0.0045,0.1,Assumed same as LCV Petrol.
216,Heavy & Articulated Vehicle,ARTICULATED VEHICLE,DIESEL,950,1.6,1.84,0.04,0.64,"Estimated from BS-VI HDV CI limits (g/kWh converted).[6, 7, 32, 33, 8]"
217,Heavy & Articulated Vehicle,ARTICULATED VEHICLE,ELECTRIC(BOV),0,0,0,0,0,Zero tailpipe emissions.
218,Heavy & Articulated Vehicle,ARTICULATED VEHICLE,LNG,722,1.8,2,0.01,0.8,Estimated ~24% CO₂ reduction from Diesel HDV.
219,Heavy & Articulated Vehicle,ARTICULATED VEHICLE,FUEL CELL HYDROGEN,0,0,0,0,0,Zero tailpipe emissions.
220,Heavy & Articulated Vehicle,ARTICULATED VEHICLE,NOT APPLICABLE,0,0,0,0,0,Not an applicable fuel type.
221,Heavy & Articulated Vehicle,ARTICULATED VEHICLE,CNG ONLY,850,4,2,0.02,1,Estimated based on HDV PI limits (g/kWh converted).
222,Heavy & Articulated Vehicle,ARTICULATED VEHICLE,DUAL DIESEL/LNG,800,1.7,1.9,0.02,0.7,Estimated based on Diesel and LNG values.
223,Heavy & Articulated Vehicle,ARTICULATED VEHICLE,PETROL,1050,4,1.8,0.04,0.7,Estimated based on HDV PI limits (g/kWh converted).
224,Heavy & Articulated Vehicle,TRACTOR (COMMERCIAL),DIESEL,950,1.6,1.84,0.04,0.64,"Assumed same as Articulated Vehicle.[6, 7, 32, 33, 8]"
225,Heavy & Articulated Vehicle,TRACTOR (COMMERCIAL),NOT APPLICABLE,0,0,0,0,0,Not an applicable fuel type.
226,Heavy & Articulated Vehicle,TRACTOR (COMMERCIAL),PETROL,1050,4,1.8,0.04,0.7,"Assumed same as Articulated Vehicle PETROL.[6, 7, 8]"
227,Heavy & Articulated Vehicle,TRACTOR (COMMERCIAL),ELECTRIC(BOV),0,0,0,0,0,Zero tailpipe emissions.
228,Heavy & Articulated Vehicle,PULLER TRACTOR,DIESEL,950,1.6,1.84,0.04,0.64,"Assumed same as Articulated Vehicle.[6, 7, 32, 33, 8]"
229,Heavy & Articulated Vehicle,SEMI-TRAILER (COMMERCIAL),NOT APPLICABLE,0,0,0,0,0,Zero tailpipe emissions. Trailers are non-powered.
230,Heavy & Articulated Vehicle,SEMI-TRAILER (COMMERCIAL),DIESEL,0,0,0,0,0,Zero tailpipe emissions. Trailers are non-powered; fuel type is a data anomaly.
231,Heavy & Articulated Vehicle,TRACTOR-TROLLEY(COMMERCIAL),NOT APPLICABLE,0,0,0,0,0,Zero tailpipe emissions. Trolley is non-powered.
232,Heavy & Articulated Vehicle,TRACTOR-TROLLEY(COMMERCIAL),DIESEL,1050,5,4.465,0.025,0.235,"Assumed tractor is Agricultural type, using TREM IV norms (g/kWh converted).[34, 35, 36, 37, 38, 39, 40]"
233,Heavy & Articulated Vehicle,TRACTOR-TROLLEY(COMMERCIAL),PETROL/ETHANOL,1000,4,4.465,0.025,0.235,"Assumed tractor is Agricultural type, using TREM IV norms with adjustments.[34, 35, 36, 37, 38, 39, 40]"
234,Heavy & Articulated Vehicle,DUMPER,DIESEL,1100,3.5,0.4,0.025,0.19,"Estimated from CEV Stage IV limits (g/kWh converted).[4, 41, 34, 42, 43, 44, 18]"
235,Heavy & Articulated Vehicle,DUMPER,PETROL,1200,5,0.4,0.025,0.25,Estimated based on CEV PI engine limits.
236,Heavy & Articulated Vehicle,DUMPER,CNG ONLY,1000,5,0.4,0.02,0.3,Estimated based on CEV PI engine limits.
237,Heavy & Articulated Vehicle,DUMPER,NOT APPLICABLE,0,0,0,0,0,Not an applicable fuel type.
238,Heavy & Articulated Vehicle,TRAILER (COMMERCIAL),NOT APPLICABLE,0,0,0,0,0,Zero tailpipe emissions. Trailers are non-powered.
239,Heavy & Articulated Vehicle,TRAILER (COMMERCIAL),DIESEL,0,0,0,0,0,Zero tailpipe emissions. Trailers are non-powered; fuel type is a data anomaly.
240,Construction & Industrial Equipment,CONSTRUCTION EQUIPMENT VEHICLE,DIESEL,1250,5,4.465,0.025,0.235,"Estimated from CEV Stage IV limits (g/kWh converted).[4, 41, 34, 42, 43, 44, 18]"
241,Construction & Industrial Equipment,CONSTRUCTION EQUIPMENT VEHICLE,CNG ONLY,1150,5,4.465,0.02,0.235,Estimated based on CEV PI engine limits.
242,Construction & Industrial Equipment,CONSTRUCTION EQUIPMENT VEHICLE,NOT APPLICABLE,0,0,0,0,0,Not an applicable fuel type.
243,Construction & Industrial Equipment,CONSTRUCTION EQUIPMENT VEHICLE,PETROL,1350,5,4.465,0.025,0.235,Estimated based on CEV PI engine limits.
244,Construction & Industrial Equipment,CONSTRUCTION EQUIPMENT VEHICLE,ELECTRIC(BOV),0,0,0,0,0,Zero tailpipe emissions.
245,Construction & Industrial Equipment,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),DIESEL,1250,5,4.465,0.025,0.235,"Assumed same as non-commercial CEV.[4, 41, 34, 42, 43, 44, 18]"
246,Construction & Industrial Equipment,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),ELECTRIC(BOV),0,0,0,0,0,Zero tailpipe emissions.
247,Construction & Industrial Equipment,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),CNG ONLY,1150,5,4.465,0.02,0.235,Assumed same as non-commercial CEV.
248,Construction & Industrial Equipment,EARTH MOVING EQUIPMENT,DIESEL,1250,5,4.465,0.025,0.235,"Assumed same as CEV.[4, 41, 34, 42, 43, 44, 18]"
249,Construction & Industrial Equipment,EARTH MOVING EQUIPMENT,NOT APPLICABLE,0,0,0,0,0,Not an applicable fuel type.
250,Construction & Industrial Equipment,EARTH MOVING EQUIPMENT,CNG ONLY,1150,5,4.465,0.02,0.235,Assumed same as CEV CNG.
251,Construction & Industrial Equipment,EXCAVATOR (NT),DIESEL,1250,5,4.465,0.025,0.235,"Assumed same as CEV.[4, 41, 34, 42, 43, 44, 18]"
252,Construction & Industrial Equipment,EXCAVATOR (NT),ELECTRIC(BOV),0,0,0,0,0,Zero tailpipe emissions.
253,Construction & Industrial Equipment,EXCAVATOR (NT),NOT APPLICABLE,0,0,0,0,0,Not an applicable fuel type.
254,Construction & Industrial Equipment,EXCAVATOR (NT),CNG ONLY,1150,5,4.465,0.02,0.235,Assumed same as CEV CNG.
255,Construction & Industrial Equipment,EXCAVATOR (COMMERCIAL),DIESEL,1250,5,4.465,0.025,0.235,"Assumed same as CEV.[4, 41, 34, 42, 43, 44, 18]"
256,Construction & Industrial Equipment,EXCAVATOR (COMMERCIAL),ELECTRIC(BOV),0,0,0,0,0,Zero tailpipe emissions.
257,Construction & Industrial Equipment,BULLDOZER,DIESEL,1300,5,4.465,0.025,0.235,"Assumed same as CEV, with slight CO₂ increase for higher load.[4, 41, 34, 42, 43, 44, 18]"
258,Construction & Industrial Equipment,ROAD ROLLER,DIESEL,1200,5,4.465,0.025,0.235,"Assumed same as CEV.[4, 41, 34, 42, 43, 44, 18]"
259,Construction & Industrial Equipment,CRANE MOUNTED VEHICLE,DIESEL,950,1.6,1.84,0.04,0.64,"Assumed same as HDV Diesel (BS-VI).[6, 7, 32, 33, 8]"
260,Construction & Industrial Equipment,CRANE MOUNTED VEHICLE,CNG ONLY,850,4,2,0.02,1,Assumed same as HDV CNG.
261,Construction & Industrial Equipment,CRANE MOUNTED VEHICLE,PETROL,1050,4,1.8,0.04,0.7,Assumed same as HDV Petrol.
262,Construction & Industrial Equipment,CRANE MOUNTED VEHICLE,PETROL/CNG,850,4,2,0.02,1,Assumed same as CNG ONLY.
263,Construction & Industrial Equipment,CRANE MOUNTED VEHICLE,NOT APPLICABLE,0,0,0,0,0,Not an applicable fuel type.
264,Construction & Industrial Equipment,CRANE MOUNTED VEHICLE,PETROL/HYBRID,840,3.2,1.44,0.03,0.56,Estimated as 20% reduction from Petrol Crane.
265,Construction & Industrial Equipment,CRANE MOUNTED VEHICLE,ELECTRIC(BOV),0,0,0,0,0,Zero tailpipe emissions.
266,Construction & Industrial Equipment,CRANE MOUNTED VEHICLE,DUAL DIESEL/CNG,850,4,2,0.02,1,Data Anomaly: Assumed same as CNG ONLY.
267,Construction & Industrial Equipment,FORK LIFT,DIESEL,1250,5,4.465,0.025,0.235,"Assumed same as CEV Diesel.[4, 41, 34, 42, 43, 44, 18]"
268,Construction & Industrial Equipment,FORK LIFT,PETROL,1350,5,4.465,0.025,0.235,Assumed same as CEV Petrol.
269,Construction & Industrial Equipment,FORK LIFT,PETROL/ETHANOL,1320,4,4.465,0.025,0.235,"Estimated ~20% CO/HC reduction from Petrol Fork Lift.[9, 10, 11, 12, 13]"
270,Construction & Industrial Equipment,FORK LIFT,PETROL/CNG,1150,5,4.465,0.02,0.235,Assumed same as CEV CNG.
271,Construction & Industrial Equipment,FORK LIFT,PETROL/HYBRID,1080,4,4.465,0.02,0.235,Estimated as 20% reduction from Petrol Fork Lift.
272,Construction & Industrial Equipment,FORK LIFT,ELECTRIC(BOV),0,0,0,0,0,Zero tailpipe emissions.
273,Construction & Industrial Equipment,VEHICLE FITTED WITH RIG,DIESEL,950,1.6,1.84,0.04,0.64,"Assumed same as HDV Diesel (BS-VI).[6, 7, 32, 33, 8]"
274,Construction & Industrial Equipment,VEHICLE FITTED WITH RIG,NOT APPLICABLE,0,0,0,0,0,Not an applicable fuel type.
275,Construction & Industrial Equipment,TOWER WAGON,DIESEL,950,1.6,1.84,0.04,0.64,"Assumed same as HDV Diesel (BS-VI).[6, 7, 32, 33, 8]"
276,Agricultural Vehicle,AGRICULTURAL TRACTOR,DIESEL,1050,5,4.465,0.025,0.235,"Estimated from TREM Stage IV limits (>50 HP, g/kWh converted).[34, 35, 36, 37, 38, 39, 40]"
277,Agricultural Vehicle,AGRICULTURAL TRACTOR,ELECTRIC(BOV),0,0,0,0,0,Zero tailpipe emissions.
278,Agricultural Vehicle,AGRICULTURAL TRACTOR,NOT APPLICABLE,0,0,0,0,0,Not an applicable fuel type.
279,Agricultural Vehicle,AGRICULTURAL TRACTOR,PETROL,1150,5,4.465,0.025,0.235,Estimated based on TREM PI engine limits.
280,Agricultural Vehicle,AGRICULTURAL TRACTOR,PETROL/CNG,1050,5,4.465,0.02,0.235,Estimated based on TREM PI engine limits.
281,Agricultural Vehicle,AGRICULTURAL TRACTOR,PETROL/ETHANOL,1120,4,4.465,0.025,0.235,"Estimated ~20% CO/HC reduction from Petrol Tractor.[9, 10, 11, 12, 13]"
282,Agricultural Vehicle,AGRICULTURAL TRACTOR,CNG ONLY,1050,5,4.465,0.02,0.235,Estimated based on TREM PI engine limits.
283,Agricultural Vehicle,AGRICULTURAL TRACTOR,PETROL/LPG,1100,5,4.465,0.022,0.235,"Estimated based on TREM PI engine limits with adjustments for LPG.[14, 15, 16, 17, 12, 18]"
284,Agricultural Vehicle,HARVESTER,DIESEL,1250,5,4.465,0.025,0.235,"Assumed same as CEV.[4, 41, 34, 42, 43, 44, 18]"
285,Agricultural Vehicle,HARVESTER,NOT APPLICABLE,0,0,0,0,0,Not an applicable fuel type.
286,Agricultural Vehicle,POWER TILLER,PETROL,50,1.2,0.08,0.0045,0.15,Estimated based on small engine category.
287,Agricultural Vehicle,POWER TILLER,PETROL/CNG,45,1.4,0.09,0.001,0.2,Estimated based on petrol values with adjustments for CNG.
288,Agricultural Vehicle,POWER TILLER,DIESEL,60,0.6,0.1,0.005,0.12,Estimated based on small engine category.
289,Agricultural Vehicle,TRAILER (AGRICULTURAL),NOT APPLICABLE,0,0,0,0,0,Zero tailpipe emissions. Trailers are non-powered.
290,Agricultural Vehicle,TRAILER (AGRICULTURAL),DIESEL,0,0,0,0,0,Zero tailpipe emissions. Trailers are non-powered; fuel type is a data anomaly.
291,Agricultural Vehicle,TRAILER (AGRICULTURAL),PETROL,0,0,0,0,0,Zero tailpipe emissions. Trailers are non-powered; fuel type is a data anomaly.
292,Agricultural Vehicle,TRAILER (AGRICULTURAL),ELECTRIC(BOV),0,0,0,0,0,Zero tailpipe emissions. Trailers are non-powered; fuel type is a data anomaly.
293,Agricultural Vehicle,TRAILER (AGRICULTURAL),ETHANOL,0,0,0,0,0,Zero tailpipe emissions. Trailers are non-powered; fuel type is a data anomaly.
294,Special & Emergency Vehicle,AMBULANCE,DIESEL,139.86,0.5,0.1615,0.0045,0.0085,"Assumed same as Light-Duty Diesel Van (BS-VI).[19, 20, 21, 22, 23, 24, 25]"
295,Special & Emergency Vehicle,AMBULANCE,PETROL,113.79,1,0.06,0.0045,0.1,"Assumed same as Light-Duty Petrol Van (BS-VI).[19, 20, 21, 22, 23, 24, 25]"
296,Special & Emergency Vehicle,AMBULANCE,PETROL/HYBRID,91.03,0.8,0.05,0.004,0.08,Estimated as 20% reduction from Petrol Ambulance.
297,Special & Emergency Vehicle,AMBULANCE,PETROL/CNG,101.59,1.02,0.03,0.001,0.19,"Assumed same as Light-Duty CNG Van.[4, 5]"
298,Special & Emergency Vehicle,AMBULANCE,CNG ONLY,101.59,1.02,0.03,0.001,0.19,"Assumed same as Light-Duty CNG Van.[4, 5]"
299,Special & Emergency Vehicle,AMBULANCE,PETROL/LPG,138,1.5,0.1,0.005,0.15,"Assumed same as Light-Duty LPG Van.[26, 14, 15, 16, 17, 12, 18]"
300,Special & Emergency Vehicle,ANIMAL AMBULANCE,DIESEL,139.86,0.5,0.1615,0.0045,0.0085,Assumed same as Ambulance DIESEL.
301,Special & Emergency Vehicle,ANIMAL AMBULANCE,CNG ONLY,101.59,1.02,0.03,0.001,0.19,Assumed same as Ambulance CNG.
302,Special & Emergency Vehicle,ANIMAL AMBULANCE,PETROL,113.79,1,0.06,0.0045,0.1,Assumed same as Ambulance PETROL.
303,Special & Emergency Vehicle,ANIMAL AMBULANCE,PETROL/CNG,101.59,1.02,0.03,0.001,0.19,Assumed same as Ambulance PETROL/CNG.
304,Special & Emergency Vehicle,MOBILE CLINIC,DIESEL,139.86,0.5,0.1615,0.0045,0.0085,Assumed same as Ambulance DIESEL.
305,Special & Emergency Vehicle,MOBILE CLINIC,CNG ONLY,101.59,1.02,0.03,0.001,0.19,Assumed same as Ambulance CNG.
306,Special & Emergency Vehicle,MOBILE CLINIC,PETROL,113.79,1,0.06,0.0045,0.1,Assumed same as Ambulance PETROL.
307,Special & Emergency Vehicle,FIRE TENDERS,DIESEL,950,1.6,1.84,0.04,0.64,"Assumed same as Heavy-Duty Diesel Truck (BS-VI).[6, 7, 32, 33, 8]"
308,Special & Emergency Vehicle,FIRE FIGHTING VEHICLE,DIESEL,950,1.6,1.84,0.04,0.64,"Assumed same as Heavy-Duty Diesel Truck (BS-VI).[6, 7, 32, 33, 8]"
309,Special & Emergency Vehicle,SNORKED LADDERS,DIESEL,950,1.6,1.84,0.04,0.64,"Assumed same as Heavy-Duty Diesel Truck (BS-VI).[6, 7, 32, 33, 8]"
310,Special & Emergency Vehicle,RECOVERY VEHICLE,DIESEL,950,1.6,1.84,0.04,0.64,"Assumed same as Heavy-Duty Diesel Truck (BS-VI).[6, 7, 32, 33, 8]"
311,Special & Emergency Vehicle,RECOVERY VEHICLE,CNG ONLY,850,4,2,0.02,1,Assumed same as Heavy-Duty CNG Truck.
312,Special & Emergency Vehicle,RECOVERY VEHICLE,PETROL,1050,4,1.8,0.04,0.7,Assumed same as Heavy-Duty Petrol Truck.
313,Special & Emergency Vehicle,RECOVERY VEHICLE,ELECTRIC(BOV),0,0,0,0,0,Zero tailpipe emissions.
314,Special & Emergency Vehicle,RECOVERY VEHICLE,DUAL DIESEL/CNG,850,4,2,0.02,1,Data Anomaly: Assumed same as CNG ONLY.
315,Special & Emergency Vehicle,TOW TRUCK,DIESEL,950,1.6,1.84,0.04,0.64,"Assumed same as Heavy-Duty Diesel Truck (BS-VI).[6, 7, 32, 33, 8]"
316,Special & Emergency Vehicle,TOW TRUCK,CNG ONLY,850,4,2,0.02,1,Assumed same as Heavy-Duty CNG Truck.
317,Special & Emergency Vehicle,TOW TRUCK,PETROL,1050,4,1.8,0.04,0.7,Assumed same as Heavy-Duty Petrol Truck.
318,Special & Emergency Vehicle,HEARSES,DIESEL,139.86,0.5,0.1615,0.0045,0.0085,Assumed same as LCV Diesel.
319,Special & Emergency Vehicle,HEARSES,PETROL,113.79,1,0.06,0.0045,0.1,Assumed same as LCV Petrol.
320,Special & Emergency Vehicle,HEARSES,CNG ONLY,101.59,1.02,0.03,0.001,0.19,Assumed same as LCV CNG.
321,Special & Emergency Vehicle,HEARSES,PETROL/CNG,101.59,1.02,0.03,0.001,0.19,Assumed same as CNG ONLY.
322,Special & Emergency Vehicle,TREE TRIMMING VEHICLE,DIESEL,950,1.6,1.84,0.04,0.64,"Assumed same as Heavy-Duty Diesel Truck (BS-VI).[6, 7, 32, 33, 8]"
323,Special & Emergency Vehicle,ARMOURED/SPECIALISED VEHICLE,DIESEL,1050,1.8,2,0.05,0.7,Estimated ~10% increase from HDV due to weight/armoring.
324,Special & Emergency Vehicle,ARMOURED/SPECIALISED VEHICLE,PETROL,1150,4.4,2,0.05,0.8,Estimated ~10% increase from HDV due to weight/armoring.
325,Special & Emergency Vehicle,ADAPTED VEHICLE,PETROL,113.79,1,0.06,0.0045,0.1,"Assumed same as base Petrol Car (BS-VI).[19, 20, 21, 22, 23, 24, 25]"
326,Special & Emergency Vehicle,ADAPTED VEHICLE,PETROL/ETHANOL,111.5,0.8,0.06,0.0045,0.08,"Assumed same as base Petrol/Ethanol Car.[9, 10, 11, 12, 13]"
327,Special & Emergency Vehicle,ADAPTED VEHICLE,PETROL/HYBRID,91.03,0.8,0.05,0.004,0.08,Assumed same as base Petrol/Hybrid Car.
328,Special & Emergency Vehicle,ADAPTED VEHICLE,DIESEL,139.86,0.5,0.1615,0.0045,0.0085,"Assumed same as base Diesel Car (BS-VI).[19, 20, 21, 22, 23, 24, 25]"
329,Special & Emergency Vehicle,ADAPTED VEHICLE,PETROL/CNG,101.59,1.02,0.03,0.001,0.19,"Assumed same as base Petrol/CNG Car.[4, 5]"
330,Special & Emergency Vehicle,ADAPTED VEHICLE,ELECTRIC(BOV),0,0,0,0,0,Zero tailpipe emissions.
331,Special & Emergency Vehicle,ADAPTED VEHICLE,NOT APPLICABLE,0,0,0,0,0,Not an applicable fuel type.
332,Special & Emergency Vehicle,ADAPTED VEHICLE,DIESEL/HYBRID,111.89,0.4,0.133,0.004,0.007,Assumed same as base Diesel/Hybrid Car.
333,Special & Emergency Vehicle,ADAPTED VEHICLE,PETROL/LPG,138,1.5,0.1,0.005,0.15,"Assumed same as base Petrol/LPG Car.[26, 14, 15, 16, 17, 12, 18]"
